tournament_name,organizer,city,province,event,place,fencer,club,tournament_url
2025-2026 TFF/TFA Y8 Y10 Y12 #2,Tri-City Fencing Academy,Port Coquitlam,BC,Pool #1,"MacMaster, Luke(TFA)",,D3,https://www.askfred.net/tournaments/23dc7b7f-1cf7-4e28-b1ea-bb047357f055/results
2025-2026 TFF/TFA Y8 Y10 Y12 #2,Tri-City Fencing Academy,Port Coquitlam,BC,Pool #1,"Taiju, Ray(TFA)",V5,unaffiliated,https://www.askfred.net/tournaments/23dc7b7f-1cf7-4e28-b1ea-bb047357f055/results
2025-2026 TFF/TFA Y8 Y10 Y12 #2,Tri-City Fencing Academy,Port Coquitlam,BC,Pool #1,"Martin, Matthew(TFA)",V5,V4,https://www.askfred.net/tournaments/23dc7b7f-1cf7-4e28-b1ea-bb047357f055/results
2025-2026 TFF/TFA Y8 Y10 Y12 #2,Tri-City Fencing Academy,Port Coquitlam,BC,Pool #1,"Peterson, Joseph(AFA)",D2,D4,https://www.askfred.net/tournaments/23dc7b7f-1cf7-4e28-b1ea-bb047357f055/results
2025-2026 TFF/TFA Y8 Y10 Y12 #2,Tri-City Fencing Academy,Port Coquitlam,BC,Pool #1,"Peterson, Liam(AFA)",D3,V5,https://www.askfred.net/tournaments/23dc7b7f-1cf7-4e28-b1ea-bb047357f055/results
2025-2026 TFF/TFA Y8 Y10 Y12 #2,Tri-City Fencing Academy,Port Coquitlam,BC,Pool #1,"Singh, Tanay(TFA)",V5,D4,https://www.askfred.net/tournaments/23dc7b7f-1cf7-4e28-b1ea-bb047357f055/results
Dynamo Youth Open #3,Dynamo Fencing Club,Richmond,BC,Pool #1,"SUN, JINGYI(DYNAMO)",,V5,https://www.askfred.net/tournaments/5e60235d-e894-4ca9-9504-248163f4b384/results
Dynamo Youth Open #3,Dynamo Fencing Club,Richmond,BC,Pool #1,"Burrows, Ella(DYNAMO)",D2,unaffiliated,https://www.askfred.net/tournaments/5e60235d-e894-4ca9-9504-248163f4b384/results
Dynamo Youth Open #3,Dynamo Fencing Club,Richmond,BC,Pool #1,"Lee, Hyelyn(DYNAMO)",D2,V5,https://www.askfred.net/tournaments/5e60235d-e894-4ca9-9504-248163f4b384/results
Dynamo Youth Open #3,Dynamo Fencing Club,Richmond,BC,Pool #1,"Oprisan, Eva(DYN)",D0,D4,https://www.askfred.net/tournaments/5e60235d-e894-4ca9-9504-248163f4b384/results
Dynamo Youth Open #3,Dynamo Fencing Club,Richmond,BC,Pool #1,"Leung, Trinity(DYN)",D2,V5,https://www.askfred.net/tournaments/5e60235d-e894-4ca9-9504-248163f4b384/results
Dynamo Youth Open #3,Dynamo Fencing Club,Richmond,BC,Pool #1,"Hamano, Ayaka(UNAT)",D0,D2,https://www.askfred.net/tournaments/5e60235d-e894-4ca9-9504-248163f4b384/results
Dynamo Youth Open #3,Dynamo Fencing Club,Richmond,BC,Pool #2,"Meng, Ziqi(DYNAMO)",,D2,https://www.askfred.net/tournaments/5e60235d-e894-4ca9-9504-248163f4b384/results
Dynamo Youth Open #3,Dynamo Fencing Club,Richmond,BC,Pool #2,"Yue, Aria(DYN)",V5,unaffiliated,https://www.askfred.net/tournaments/5e60235d-e894-4ca9-9504-248163f4b384/results
Dynamo Youth Open #3,Dynamo Fencing Club,Richmond,BC,Pool #2,"cetin, zeynep ela(DYN-CAN)",V5,D3,https://www.askfred.net/tournaments/5e60235d-e894-4ca9-9504-248163f4b384/results
Dynamo Youth Open #3,Dynamo Fencing Club,Richmond,BC,Pool #2,"Wong, Valerie(UNAT)",V5,V5,https://www.askfred.net/tournaments/5e60235d-e894-4ca9-9504-248163f4b384/results
Dynamo Youth Open #3,Dynamo Fencing Club,Richmond,BC,Pool #2,"Somani, Iam(UNAT)",D3,D3,https://www.askfred.net/tournaments/5e60235d-e894-4ca9-9504-248163f4b384/results
Dynamo Youth Open #3,Dynamo Fencing Club,Richmond,BC,Pool #3,"Chinbat, Todgerel(DYNAMO)",,V5,https://www.askfred.net/tournaments/5e60235d-e894-4ca9-9504-248163f4b384/results
Dynamo Youth Open #3,Dynamo Fencing Club,Richmond,BC,Pool #3,"Liu, Claire(DYNAMO)",D0,unaffiliated,https://www.askfred.net/tournaments/5e60235d-e894-4ca9-9504-248163f4b384/results
Dynamo Youth Open #3,Dynamo Fencing Club,Richmond,BC,Pool #3,"Lui, Alexandra(DYNAMO)",V5,V1,https://www.askfred.net/tournaments/5e60235d-e894-4ca9-9504-248163f4b384/results
Dynamo Youth Open #3,Dynamo Fencing Club,Richmond,BC,Pool #3,"Liu, Flora(DYN)",D4,V5,https://www.askfred.net/tournaments/5e60235d-e894-4ca9-9504-248163f4b384/results
Dynamo Youth Open #3,Dynamo Fencing Club,Richmond,BC,Pool #3,"Guo, Cathy(DYNAMOCAN)",V5,V5,https://www.askfred.net/tournaments/5e60235d-e894-4ca9-9504-248163f4b384/results
Dynamo Youth Open #3,Dynamo Fencing Club,Richmond,BC,Pool #3,"Vongvilay, Riley(DYN-CAN)",D3,D3,https://www.askfred.net/tournaments/5e60235d-e894-4ca9-9504-248163f4b384/results
